issue_id,signal,canonical_card_id,canonical_card_version_id,note_guid,title,deck_path,current_tags,reviewer_decision,replacement_tags,reviewer_rationale
"deck_spine_missing_matching_specialty:1:433a5588-ca8e-420d-97b2-9ba30069fd42","deck_spine_missing_matching_specialty","433a5588-ca8e-420d-97b2-9ba30069fd42","c2c6545d-5974-4db9-92a5-d87223f9933b","O[3%l%i^s*","Levator Scapulae Origin: {{c1::C1-C4 transverse process}} Insertion: {{c2::Scapula}} Action: {{c3::Elevate scapula}} Ne…","Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.08 Muscles","SnapOrtho::Specialty::Shoulder_Elbow","","",""
"deck_spine_missing_matching_specialty:2:6cf8b249-a627-4f87-b904-bef96850f6cb","deck_spine_missing_matching_specialty","6cf8b249-a627-4f87-b904-bef96850f6cb","9a427d7a-0da3-4f63-a52d-79bbaf37261a","k~p=Ga6hdr","Name the nerve root based on the following primary motion, muscle innervation, and sensory area. {{c1::C4}} Motion: Sca…","Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Basic & Clinical Science::Evaluation::Neck & Upper Extremity Spine Exam","SnapOrtho::Anatomy::Shoulder_Girdle | SnapOrtho::Anatomy::Shoulder_Girdle::Osteology | SnapOrtho::Anatomy::Shoulder_Girdle::Osteology::Clavicle | SnapOrtho::Specialty::Shoulder_Elbow","","",""
"deck_spine_missing_matching_specialty:3:ca772122-2e15-46bd-a063-206a17bb5aba","deck_spine_missing_matching_specialty","ca772122-2e15-46bd-a063-206a17bb5aba","a377f004-9a8e-4d33-9d6e-485d9395360c","Rf!NvTF-Ap","What is a Hangman's fracture ? {{c1::Traumatic spondylolisthesis of the axis (C2) following fractures to the bilateral…","Marty McFlyin's Ortho Deck::2) Pocket Pimped::07 Spine::07.02 Trauma::Vertebral Fractures","SnapOrtho::Specialty::Trauma","","",""
"deck_spine_missing_matching_specialty:4:56af646c-e972-41e6-b882-2309f4328b1a","deck_spine_missing_matching_specialty","56af646c-e972-41e6-b882-2309f4328b1a","31698df0-639f-4811-991a-3c9bcb116cca","h[|ujLo$ka","How is a Hoffman's test performed? {{c1:: Stabilize the middle phalanx of the long finger Flick the distal phalanx into…","Marty McFlyin's Ortho Deck::2) Pocket Pimped::07 Spine::07.02 Trauma::Spinal Conditions","SnapOrtho::Anatomy::Hand | SnapOrtho::Anatomy::Hand::Osteology | SnapOrtho::Anatomy::Hand::Osteology::Distal_Phalanx | SnapOrtho::Anatomy::Hand::Osteology::Middle_Phalanx | SnapOrtho::Specialty::Hand_Upper_Extremity","","",""
"deck_spine_missing_matching_specialty:5:37dda677-4699-4075-a87a-b85ea3cd1e1e","deck_spine_missing_matching_specialty","37dda677-4699-4075-a87a-b85ea3cd1e1e","761ada91-1a39-40e5-a58a-b012361f1e2c","IDxOs^xXk^","Name the nerve root based on the following primary motion, muscle innervation, and sensory area. {{c1::C6}} Motion: Elb…","Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Basic & Clinical Science::Evaluation::Neck & Upper Extremity Spine Exam","SnapOrtho::Specialty::Hand_Upper_Extremity | SnapOrtho::Specialty::Shoulder_Elbow","","",""
"deck_spine_missing_matching_specialty:6:43ea5837-8161-4759-a663-abf9b30443b7","deck_spine_missing_matching_specialty","43ea5837-8161-4759-a663-abf9b30443b7","b34835d6-3596-4d6d-b02f-72c905f8579e","Aw8_+1$Uza","Trapezius Origin: {{c1::Spinous process}} Insertion: {{c2::Clavicle}}, {{c2::scapula}} Action: {{c3::Rotate scapula}} N…","Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.08 Muscles","SnapOrtho::Anatomy::Shoulder_Girdle | SnapOrtho::Anatomy::Shoulder_Girdle::Osteology | SnapOrtho::Anatomy::Shoulder_Girdle::Osteology::Clavicle | SnapOrtho::Specialty::Shoulder_Elbow","","",""
"deck_spine_missing_matching_specialty:7:8e50031c-f2f5-4368-850a-0829b7b84adc","deck_spine_missing_matching_specialty","8e50031c-f2f5-4368-850a-0829b7b84adc","6a412a78-5615-4c03-b598-edc1119be371","i:;$=mtn0+","To reduce the risk of adjacent segment disease, an anterior cervial plate must be placed >{{c1::5}} mm from the adjacen…","Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Degenerative::Cervical Conditions::Cervical Adjacent Segment Disease","SnapOrtho::Diagnosis::Adjacent_Segment_Disease","","",""
"deck_spine_missing_matching_specialty:8:bf697069-08e5-4cc1-8c47-c650356fe5df","deck_spine_missing_matching_specialty","bf697069-08e5-4cc1-8c47-c650356fe5df","ed8b45ea-9567-47b0-9925-336fc71b7ea8","ni*OVn),8Z","Arthrodesis of {{c1::C2-C3::which levels?}} has the lowest risk of developing ASD (adjacent segment disease).","Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Degenerative::Cervical Conditions::Cervical Adjacent Segment Disease","SnapOrtho::Diagnosis::Adjacent_Segment_Disease","","",""
"deck_spine_missing_matching_specialty:9:0faff1ed-73c8-498b-9dcf-e28d19e74a37","deck_spine_missing_matching_specialty","0faff1ed-73c8-498b-9dcf-e28d19e74a37","b5e7bd5b-45b2-491f-8cf1-d57473823df4","phr]WtyflE","An L5/S1 {{c1::far lateral::far lateral/paracentral}} disc hernation would result in a Trendelenburg gait .","Marty McFlyin's Ortho Deck::3) OrthoBullets::Spine::Spine Basic & Clinical Science::Evaluation::Lower Extremity Spine & Neuro Exam","SnapOrtho::Anatomy::Spine | SnapOrtho::Anatomy::Spine::Nerves | SnapOrtho::Anatomy::Spine::Nerves::Exiting_Nerve_Root | SnapOrtho::Anatomy::Thigh_Hip | SnapOrtho::Anatomy::Thigh_Hip::Muscles | SnapOrtho::Anatomy::Thigh_Hip::Muscles::Gluteus_Medius","","",""
"deck_spine_missing_matching_specialty:10:c7c031c7-0eab-4b63-aa14-041b52fe6fd4","deck_spine_missing_matching_specialty","c7c031c7-0eab-4b63-aa14-041b52fe6fd4","d9262456-4d56-4ac1-838e-169aaefdc6c0","k4:U5m:HCm","Spondylosis features a defect/fracture of the {{c1::pars interarticularis}} without slip. Lateral spine x-ray will show…","Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.11 Disorders","SnapOrtho::Specialty::Trauma","","",""
